video_name,teacher_name,user_count
EBS 중학 뉴런 수학1(상),이지연,"154,533"
EBS 중학 뉴런 수학2(하),손석민,"105,000"
EBS 중학 뉴런 수학1(하),이지연,"85,737"
EBS 중학 뉴런 수학3(하),손석민,"78,636"
EBS 수학의 답,"손석민
이지연","72,018"
EBS 중학 뉴런 수학2(상),손석민,"68,699"
EBS 중학 뉴런 수학3(상),채지영,"35,724"
한 장 수학 1(상),양진아,"13,206"
한 장 수학 1(하),양진아,"9,337"
한 장 수학3(하),손석민,"8,448"
한 장 수학2(하),서채은,"8,268"
중학 수학 마스터 개념 1-1,김구,"7,841"
EBS 중학 신입생 예비과정 수학,이지연,"6,936"
중학 수학 마스터 개념 2-2,변창현,"6,776"
중학 수학 마스터 개념 1-2,김구,"6,274"
중학 수학 마스터 개념 3-2,김민재,"6,052"
한 장 수학2(상),서채은,"5,750"
중학 수학 마스터 개념 2-1,변창현,"5,077"
한 장 수학3(상),최은정,"4,027"
중학 수학 마스터 개념 3-1,김민재,"3,208"
